Testcase,Function,Module,Pass Rate,339644,338707,337915,337226,336608,335774,334935,334211,333447,332645,331246,329743,328972,328195
ft_add_unknownvlan_interface,test_ft_add_unknownvlan_interface,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_vlan_delete_with_member,test_ft_vlan_delete_with_member,switching/test_vlan.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSwLagFn042,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSwLagFn041,test_ft_portchannel_with_vlan_variations,switching/test_portchannel.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSwPominFn007,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007,switching/test_portchannel.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_vlan_trunk_tagged,test_ft_vlan_trunk_tagged,switching/test_vlan.py,71,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail
ft_show_vlan_brief,test_ft_vlan_trunk_tagged,switching/test_vlan.py,71,Pass,Fail,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail
FtOpSoSyInIpFn002,test_ft_port_fn_verify_shut_noshut,system/test_interface.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--
ft_ssh_service_disable,test_ft_ssh_service_disable,system/test_ssh.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,--NE--,Pass
test_ft_controlplane_acl_service_sshv6,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,--NE--,EnvFail
