#,Node,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
1,gw4,system/test_snapshot.py,test_ft_watermark_telemetry_interval,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2,gw4,system/test_snapshot.py,--Module--,V4,NE,NE,NE,NE,NE,NE
3,gw4,system/test_snmp.py,test_ft_snmp_sysName,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
4,gw4,system/test_snmp.py,test_ft_snmp_test_syUpTime,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
5,gw4,system/test_snmp.py,test_ft_snmp_sysDescr,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
6,gw4,system/test_snmp.py,test_ft_snmp_mib_2,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7,gw4,system/test_snmp.py,test_ft_snmp_if_mib_all,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
8,gw4,system/test_snmp.py,test_ft_snmp_entity_mib_all,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
9,gw4,system/test_snmp.py,test_ft_snmp_dot1q_dot1db_mib,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
10,gw4,system/test_snmp.py,test_ft_snmp_root_node_walk,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
11,gw4,system/test_snmp.py,test_ft_snmp_ipAddressRowStatus_ipv6,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
12,gw4,system/test_snmp.py,test_ft_snmp_ipAddressStorageType_ipv6,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
13,gw4,system/test_snmp.py,test_ft_snmp_ipv6_If_Forward_default_HopLimit,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
14,gw4,system/test_snmp.py,test_ft_snmp_ipv6scope_index_table,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
15,gw4,system/test_snmp.py,test_ft_snmp_ip_forward_table,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
16,gw4,system/test_snmp.py,test_ft_snmp_ifx_table,V4,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
